Frequency,ChronicIllness,postcode
9,Anti-Coagulant,2549
6,Anti-Coagulant,2550
3,Anti-Coagulant,2551
6,Anti-Coagulant,2556
3,Anti-Coagulant,2557
8,Anti-Coagulant,2558
2,Anti-Coagulant,2559
98,Anti-Coagulant,2560
1,Anti-Coagulant,2563
10,Anti-Coagulant,2564
4,Anti-Coagulant,2565
38,Anti-Coagulant,2566
15,Anti-Coagulant,2567
7,Anti-Coagulant,2568
3,Anti-Coagulant,2569
77,Anti-Coagulant,2570
18,Anti-Coagulant,2571
6,Anti-Coagulant,2572
6,Anti-Coagulant,2573
5,Anti-Coagulant,2574
57,Anti-Coagulant,2575
92,Anti-Coagulant,2576
72,Anti-Coagulant,2577
13,Anti-Coagulant,2578
15,Anti-Coagulant,2579
104,Anti-Coagulant,2580
2,Anti-Coagulant,2581
43,Anti-Coagulant,2582
1,Anti-Coagulant,2583
1,Anti-Coagulant,2584
48,Anti-Coagulant,2586
2,Anti-Coagulant,2587
4,Anti-Coagulant,2588
62,Anti-Coagulant,2590
13,Anti-Coagulant,2594
1,Anti-Coagulant,2597
152,Anti-Coagulant,2620
6,Anti-Coagulant,2621
25,Anti-Coagulant,2622
2,Anti-Coagulant,2623
1,Anti-Coagulant,2626
4,Anti-Coagulant,2627
13,Anti-Coagulant,2628
6,Anti-Coagulant,2629
62,Anti-Coagulant,2630
3,Anti-Coagulant,2631
1,Anti-Coagulant,2632
2,Anti-Coagulant,2633
96,Anti-Coagulant,2640
21,Anti-Coagulant,2641
2,Anti-Coagulant,2642
25,Anti-Coagulant,2643
5,Anti-Coagulant,2644
37,Anti-Coagulant,2646
15,Anti-Coagulant,2647
10,Anti-Coagulant,2648
231,Anti-Coagulant,2650
6,Anti-Coagulant,2651
17,Anti-Coagulant,2652
2,Anti-Coagulant,2653
1,Anti-Coagulant,2655
1,Anti-Coagulant,2656
1,Anti-Coagulant,2659
24,Anti-Coagulant,2663
6,Anti-Coagulant,2665
31,Anti-Coagulant,2666
3,Anti-Coagulant,2668
1,Anti-Coagulant,2669
1,Anti-Coagulant,2671
1,Anti-Coagulant,2672
1,Anti-Coagulant,2675
125,Anti-Coagulant,2680
8,Anti-Coagulant,2681
24,Anti-Coagulant,2700
28,Anti-Coagulant,2701
4,Anti-Coagulant,2705
3,Anti-Coagulant,2706
13,Anti-Coagulant,2710
20,Anti-Coagulant,2711
8,Anti-Coagulant,2712
17,Anti-Coagulant,2713
22,Anti-Coagulant,2714
1,Anti-Coagulant,2715
1,Anti-Coagulant,2717
1,Anti-Coagulant,2720
1,Anti-Coagulant,2722
4,Anti-Coagulant,2725
2,Anti-Coagulant,2726
1,Anti-Coagulant,2727
3,Anti-Coagulant,2729
1,Anti-Coagulant,2730
62,Anti-Coagulant,2731
1,Anti-Coagulant,2732
3,Anti-Coagulant,2733
1,Anti-Coagulant,2736
65,Anti-Coagulant,2745
132,Anti-Coagulant,2747
6,Anti-Coagulant,2748
34,Anti-Coagulant,2749
143,Anti-Coagulant,2750
7,Anti-Coagulant,2752
81,Anti-Coagulant,2753
10,Anti-Coagulant,2754
131,Anti-Coagulant,2756
2,Anti-Coagulant,2757
23,Anti-Coagulant,2758
10,Anti-Coagulant,2759
76,Anti-Coagulant,2760
17,Anti-Coagulant,2761
10,Anti-Coagulant,2762
31,Anti-Coagulant,2763
45,Anti-Coagulant,2765
45,Anti-Coagulant,2766
23,Anti-Coagulant,2767
26,Anti-Coagulant,2768
3,Anti-Coagulant,2769
160,Anti-Coagulant,2770
15,Anti-Coagulant,2773
36,Anti-Coagulant,2774
3,Anti-Coagulant,2775
8,Anti-Coagulant,2776
64,Anti-Coagulant,2777
7,Anti-Coagulant,2778
13,Anti-Coagulant,2779
11,Anti-Coagulant,2780
31,Anti-Coagulant,2782
3,Anti-Coagulant,2783
2,Anti-Coagulant,2784
44,Anti-Coagulant,2785
9,Anti-Coagulant,2786
31,Anti-Coagulant,2787
116,Anti-Coagulant,2790
2,Anti-Coagulant,2791
2,Anti-Coagulant,2792
3,Anti-Coagulant,2793
5,Anti-Coagulant,2794
183,Anti-Coagulant,2795
3,Anti-Coagulant,2797
12,Anti-Coagulant,2798
21,Anti-Coagulant,2799
86,Anti-Coagulant,2800
64,Anti-Coagulant,2804
4,Anti-Coagulant,2805
8,Anti-Coagulant,2806
3,Anti-Coagulant,2810
1,Anti-Coagulant,2818
5,Anti-Coagulant,2820
18,Anti-Coagulant,2821
13,Anti-Coagulant,2824
1,Anti-Coagulant,2827
14,Anti-Coagulant,2829
258,Anti-Coagulant,2830
11,Anti-Coagulant,2831
9,Anti-Coagulant,2832
1,Anti-Coagulant,2833
9,Anti-Coagulant,2834
4,Anti-Coagulant,2835
9,Anti-Coagulant,2840
3,Anti-Coagulant,2842
3,Anti-Coagulant,2843
8,Anti-Coagulant,2844
3,Anti-Coagulant,2845
3,Anti-Coagulant,2846
1,Anti-Coagulant,2847
15,Anti-Coagulant,2848
12,Anti-Coagulant,2849
54,Anti-Coagulant,2850
1,Anti-Coagulant,2852
1,Anti-Coagulant,2865
3,Anti-Coagulant,2867
1,Anti-Coagulant,2868
2,Anti-Coagulant,2869
31,Anti-Coagulant,2870
38,Anti-Coagulant,2871
1,Anti-Coagulant,2873
1,Anti-Coagulant,2875
2,Anti-Coagulant,2878
4,Anti-Coagulant,2880
1,Anti-Coagulant,2899
1,Anti-Coagulant,2954
7,Anti-Coagulant,3000
1,Anti-Coagulant,3001
3,Anti-Coagulant,3002
4,Anti-Coagulant,3003
10,Anti-Coagulant,3004
3,Anti-Coagulant,3006
2,Anti-Coagulant,3008
12,Anti-Coagulant,3011
19,Anti-Coagulant,3012
38,Anti-Coagulant,3013
30,Anti-Coagulant,3015
8,Anti-Coagulant,3016
77,Anti-Coagulant,3018
7,Anti-Coagulant,3019
76,Anti-Coagulant,3020
149,Anti-Coagulant,3021
5,Anti-Coagulant,3022
21,Anti-Coagulant,3023
8,Anti-Coagulant,3024
22,Anti-Coagulant,3025
2,Anti-Coagulant,3027
105,Anti-Coagulant,3028
56,Anti-Coagulant,3029
172,Anti-Coagulant,3030
14,Anti-Coagulant,3031
34,Anti-Coagulant,3032
50,Anti-Coagulant,3033
29,Anti-Coagulant,3034
11,Anti-Coagulant,3036
22,Anti-Coagulant,3037
71,Anti-Coagulant,3038
26,Anti-Coagulant,3039
17,Anti-Coagulant,3040
25,Anti-Coagulant,3041
38,Anti-Coagulant,3042
43,Anti-Coagulant,3043
138,Anti-Coagulant,3044
146,Anti-Coagulant,3046
31,Anti-Coagulant,3047
6,Anti-Coagulant,3048
3,Anti-Coagulant,3049
15,Anti-Coagulant,3051
5,Anti-Coagulant,3052
6,Anti-Coagulant,3053
16,Anti-Coagulant,3054
4,Anti-Coagulant,3055
16,Anti-Coagulant,3056
8,Anti-Coagulant,3057
64,Anti-Coagulant,3058
22,Anti-Coagulant,3059
42,Anti-Coagulant,3060
22,Anti-Coagulant,3061
1,Anti-Coagulant,3063
46,Anti-Coagulant,3064
5,Anti-Coagulant,3065
3,Anti-Coagulant,3066
5,Anti-Coagulant,3067
11,Anti-Coagulant,3068
44,Anti-Coagulant,3070
36,Anti-Coagulant,3071
62,Anti-Coagulant,3072
99,Anti-Coagulant,3073
25,Anti-Coagulant,3074
31,Anti-Coagulant,3075
24,Anti-Coagulant,3076
20,Anti-Coagulant,3078
38,Anti-Coagulant,3079
5,Anti-Coagulant,3081
44,Anti-Coagulant,3082
47,Anti-Coagulant,3083
74,Anti-Coagulant,3084
30,Anti-Coagulant,3085
29,Anti-Coagulant,3087
72,Anti-Coagulant,3088
36,Anti-Coagulant,3089
4,Anti-Coagulant,3090
3,Anti-Coagulant,3091
18,Anti-Coagulant,3093
38,Anti-Coagulant,3094
34,Anti-Coagulant,3095
3,Anti-Coagulant,3096
3,Anti-Coagulant,3097
12,Anti-Coagulant,3099
43,Anti-Coagulant,3101
12,Anti-Coagulant,3102
28,Anti-Coagulant,3103
53,Anti-Coagulant,3104
45,Anti-Coagulant,3105
33,Anti-Coagulant,3106
44,Anti-Coagulant,3107
70,Anti-Coagulant,3108
101,Anti-Coagulant,3109
1,Anti-Coagulant,3110
71,Anti-Coagulant,3111
4,Anti-Coagulant,3113
2,Anti-Coagulant,3114
2,Anti-Coagulant,3115
7,Anti-Coagulant,3116
2,Anti-Coagulant,3120
29,Anti-Coagulant,3121
65,Anti-Coagulant,3122
19,Anti-Coagulant,3123
64,Anti-Coagulant,3124
37,Anti-Coagulant,3125
28,Anti-Coagulant,3126
34,Anti-Coagulant,3127
42,Anti-Coagulant,3128
5,Anti-Coagulant,3129
150,Anti-Coagulant,3130
105,Anti-Coagulant,3131
28,Anti-Coagulant,3132
55,Anti-Coagulant,3133
27,Anti-Coagulant,3134
53,Anti-Coagulant,3135
81,Anti-Coagulant,3136
67,Anti-Coagulant,3137
19,Anti-Coagulant,3138
25,Anti-Coagulant,3139
28,Anti-Coagulant,3140
28,Anti-Coagulant,3141
5,Anti-Coagulant,3142
12,Anti-Coagulant,3143
12,Anti-Coagulant,3144
13,Anti-Coagulant,3145
54,Anti-Coagulant,3146
53,Anti-Coagulant,3147
11,Anti-Coagulant,3148
112,Anti-Coagulant,3149
212,Anti-Coagulant,3150
10,Anti-Coagulant,3151
69,Anti-Coagulant,3152
30,Anti-Coagulant,3153
3,Anti-Coagulant,3154
74,Anti-Coagulant,3155
109,Anti-Coagulant,3156
4,Anti-Coagulant,3158
5,Anti-Coagulant,3159
10,Anti-Coagulant,3160
19,Anti-Coagulant,3161
27,Anti-Coagulant,3162
66,Anti-Coagulant,3163
97,Anti-Coagulant,3165
38,Anti-Coagulant,3166
17,Anti-Coagulant,3167
58,Anti-Coagulant,3168
25,Anti-Coagulant,3169
85,Anti-Coagulant,3170
43,Anti-Coagulant,3171
55,Anti-Coagulant,3172
30,Anti-Coagulant,3173
72,Anti-Coagulant,3174
135,Anti-Coagulant,3175
17,Anti-Coagulant,3177
138,Anti-Coagulant,3178
6,Anti-Coagulant,3179
18,Anti-Coagulant,3180
11,Anti-Coagulant,3181
9,Anti-Coagulant,3182
13,Anti-Coagulant,3183
2,Anti-Coagulant,3184
24,Anti-Coagulant,3185
48,Anti-Coagulant,3186
49,Anti-Coagulant,3187
21,Anti-Coagulant,3188
20,Anti-Coagulant,3189
32,Anti-Coagulant,3190
5,Anti-Coagulant,3191
55,Anti-Coagulant,3192
36,Anti-Coagulant,3193
60,Anti-Coagulant,3194
42,Anti-Coagulant,3195
73,Anti-Coagulant,3196
5,Anti-Coagulant,3197
31,Anti-Coagulant,3198
83,Anti-Coagulant,3199
2,Anti-Coagulant,3200
20,Anti-Coagulant,3201
3,Anti-Coagulant,3202
45,Anti-Coagulant,3204
8,Anti-Coagulant,3205
9,Anti-Coagulant,3206
20,Anti-Coagulant,3207
6,Anti-Coagulant,3211
32,Anti-Coagulant,3212
51,Anti-Coagulant,3214
37,Anti-Coagulant,3215
84,Anti-Coagulant,3216
3,Anti-Coagulant,3218
27,Anti-Coagulant,3219
7,Anti-Coagulant,3220
17,Anti-Coagulant,3221
42,Anti-Coagulant,3222
41,Anti-Coagulant,3223
2,Anti-Coagulant,3224
1,Anti-Coagulant,3225
29,Anti-Coagulant,3226
1,Anti-Coagulant,3227
43,Anti-Coagulant,3228
5,Anti-Coagulant,3233
2,Anti-Coagulant,3236
1,Anti-Coagulant,3237
3,Anti-Coagulant,3239
1,Anti-Coagulant,3240
2,Anti-Coagulant,3241
7,Anti-Coagulant,3242
5,Anti-Coagulant,3243
10,Anti-Coagulant,3249
55,Anti-Coagulant,3250
1,Anti-Coagulant,3251
2,Anti-Coagulant,3254
25,Anti-Coagulant,3260
20,Anti-Coagulant,3264
4,Anti-Coagulant,3265
13,Anti-Coagulant,3266
1,Anti-Coagulant,3268
1,Anti-Coagulant,3269
11,Anti-Coagulant,3272
1,Anti-Coagulant,3274
1,Anti-Coagulant,3275
5,Anti-Coagulant,3277
141,Anti-Coagulant,3280
3,Anti-Coagulant,3281
3,Anti-Coagulant,3282
1,Anti-Coagulant,3283
27,Anti-Coagulant,3284
6,Anti-Coagulant,3285
4,Anti-Coagulant,3286
1,Anti-Coagulant,3287
2,Anti-Coagulant,3289
1,Anti-Coagulant,3292
2,Anti-Coagulant,3293
8,Anti-Coagulant,3294
60,Anti-Coagulant,3300
3,Anti-Coagulant,3301
3,Anti-Coagulant,3302
2,Anti-Coagulant,3303
19,Anti-Coagulant,3304
45,Anti-Coagulant,3305
1,Anti-Coagulant,3310
14,Anti-Coagulant,3311
4,Anti-Coagulant,3312
9,Anti-Coagulant,3318
3,Anti-Coagulant,3319
1,Anti-Coagulant,3321
1,Anti-Coagulant,3324
2,Anti-Coagulant,3325
1,Anti-Coagulant,3329
1,Anti-Coagulant,3330
1,Anti-Coagulant,3331
1,Anti-Coagulant,3334
48,Anti-Coagulant,3337
29,Anti-Coagulant,3338
49,Anti-Coagulant,3340
2,Anti-Coagulant,3341
16,Anti-Coagulant,3342
2,Anti-Coagulant,3345
147,Anti-Coagulant,3350
15,Anti-Coagulant,3351
30,Anti-Coagulant,3352
67,Anti-Coagulant,3355
72,Anti-Coagulant,3356
10,Anti-Coagulant,3357
3,Anti-Coagulant,3360
3,Anti-Coagulant,3361
1,Anti-Coagulant,3363
3,Anti-Coagulant,3364
1,Anti-Coagulant,3371
15,Anti-Coagulant,3373
1,Anti-Coagulant,3374
1,Anti-Coagulant,3375
50,Anti-Coagulant,3377
71,Anti-Coagulant,3380
4,Anti-Coagulant,3381
4,Anti-Coagulant,3384
3,Anti-Coagulant,3385
1,Anti-Coagulant,3390
1,Anti-Coagulant,3393
14,Anti-Coagulant,3396
1,Anti-Coagulant,3399
91,Anti-Coagulant,3400
8,Anti-Coagulant,3401
3,Anti-Coagulant,3407
6,Anti-Coagulant,3409
12,Anti-Coagulant,3414
11,Anti-Coagulant,3418
1,Anti-Coagulant,3419
1,Anti-Coagulant,3424
1,Anti-Coagulant,3428
5,Anti-Coagulant,3429
1,Anti-Coagulant,3431
1,Anti-Coagulant,3432
16,Anti-Coagulant,3434
18,Anti-Coagulant,3437
2,Anti-Coagulant,3438
3,Anti-Coagulant,3440
4,Anti-Coagulant,3441
1,Anti-Coagulant,3442
31,Anti-Coagulant,3444
4,Anti-Coagulant,3446
3,Anti-Coagulant,3447
23,Anti-Coagulant,3450
4,Anti-Coagulant,3451
1,Anti-Coagulant,3453
12,Anti-Coagulant,3458
2,Anti-Coagulant,3461
2,Anti-Coagulant,3462
4,Anti-Coagulant,3463
11,Anti-Coagulant,3464
96,Anti-Coagulant,3465
8,Anti-Coagulant,3467
2,Anti-Coagulant,3468
1,Anti-Coagulant,3469
3,Anti-Coagulant,3472
3,Anti-Coagulant,3478
17,Anti-Coagulant,3480
7,Anti-Coagulant,3483
1,Anti-Coagulant,3487
1,Anti-Coagulant,3491
1,Anti-Coagulant,3496
1,Anti-Coagulant,3498
31,Anti-Coagulant,3500
2,Anti-Coagulant,3501
17,Anti-Coagulant,3505
2,Anti-Coagulant,3515
1,Anti-Coagulant,3516
1,Anti-Coagulant,3517
1,Anti-Coagulant,3522
32,Anti-Coagulant,3523
1,Anti-Coagulant,3527
1,Anti-Coagulant,3539
1,Anti-Coagulant,3544
129,Anti-Coagulant,3550
25,Anti-Coagulant,3551
56,Anti-Coagulant,3555
58,Anti-Coagulant,3556
2,Anti-Coagulant,3557
9,Anti-Coagulant,3558
7,Anti-Coagulant,3561
6,Anti-Coagulant,3562
3,Anti-Coagulant,3563
110,Anti-Coagulant,3564
1,Anti-Coagulant,3565
1,Anti-Coagulant,3566
7,Anti-Coagulant,3567
28,Anti-Coagulant,3568
2,Anti-Coagulant,3570
2,Anti-Coagulant,3571
1,Anti-Coagulant,3573
2,Anti-Coagulant,3575
2,Anti-Coagulant,3579
1,Anti-Coagulant,3581
27,Anti-Coagulant,3585
1,Anti-Coagulant,3588
1,Anti-Coagulant,3589
1,Anti-Coagulant,3590
1,Anti-Coagulant,3594
1,Anti-Coagulant,3596
2,Anti-Coagulant,3597
16,Anti-Coagulant,3608
22,Anti-Coagulant,3610
2,Anti-Coagulant,3614
59,Anti-Coagulant,3616
1,Anti-Coagulant,3618
2,Anti-Coagulant,3619
22,Anti-Coagulant,3620
2,Anti-Coagulant,3621
11,Anti-Coagulant,3623
2,Anti-Coagulant,3624
17,Anti-Coagulant,3629
225,Anti-Coagulant,3630
31,Anti-Coagulant,3631
2,Anti-Coagulant,3633
6,Anti-Coagulant,3634
3,Anti-Coagulant,3635
34,Anti-Coagulant,3636
1,Anti-Coagulant,3637
16,Anti-Coagulant,3638
9,Anti-Coagulant,3639
3,Anti-Coagulant,3640
5,Anti-Coagulant,3641
6,Anti-Coagulant,3643
78,Anti-Coagulant,3644
3,Anti-Coagulant,3646
3,Anti-Coagulant,3649
17,Anti-Coagulant,3658
2,Anti-Coagulant,3659
13,Anti-Coagulant,3660
3,Anti-Coagulant,3666
5,Anti-Coagulant,3669
13,Anti-Coagulant,3672
5,Anti-Coagulant,3673
1,Anti-Coagulant,3675
2,Anti-Coagulant,3676
69,Anti-Coagulant,3677
12,Anti-Coagulant,3678
1,Anti-Coagulant,3682
3,Anti-Coagulant,3685
2,Anti-Coagulant,3687
1,Anti-Coagulant,3688
5,Anti-Coagulant,3689
109,Anti-Coagulant,3690
21,Anti-Coagulant,3691
1,Anti-Coagulant,3694
4,Anti-Coagulant,3695
2,Anti-Coagulant,3697
6,Anti-Coagulant,3698
12,Anti-Coagulant,3699
7,Anti-Coagulant,3700
3,Anti-Coagulant,3701
1,Anti-Coagulant,3711
3,Anti-Coagulant,3712
4,Anti-Coagulant,3713
48,Anti-Coagulant,3714
1,Anti-Coagulant,3715
16,Anti-Coagulant,3717
1,Anti-Coagulant,3718
7,Anti-Coagulant,3719
2,Anti-Coagulant,3720
45,Anti-Coagulant,3722
21,Anti-Coagulant,3723
2,Anti-Coagulant,3728
14,Anti-Coagulant,3730
1,Anti-Coagulant,3732
1,Anti-Coagulant,3733
1,Anti-Coagulant,3735
3,Anti-Coagulant,3736
24,Anti-Coagulant,3737
4,Anti-Coagulant,3746
17,Anti-Coagulant,3747
4,Anti-Coagulant,3749
19,Anti-Coagulant,3752
10,Anti-Coagulant,3754
1,Anti-Coagulant,3755
13,Anti-Coagulant,3756
31,Anti-Coagulant,3757
5,Anti-Coagulant,3758
2,Anti-Coagulant,3761
5,Anti-Coagulant,3763
8,Anti-Coagulant,3764
17,Anti-Coagulant,3765
1,Anti-Coagulant,3766
2,Anti-Coagulant,3767
4,Anti-Coagulant,3770
18,Anti-Coagulant,3775
65,Anti-Coagulant,3777
1,Anti-Coagulant,3779
